Período,Salário mínimo nominal,Salário mínimo necessário
Aug-23,1320.00,6389.72
Jul-23,1320.00,6528.93
Jun-23,1320.00,6578.41
May-23,1320.00,6652.09
Apr-23,1302.00,6676.11
Mar-23,1302.00,6571.52
Feb-23,1302.00,6547.58
Jan-23,1302.00,6641.58
Dec-22,1212.00,6647.63
Nov-22,1212.00,6575.30
Oct-22,1212.00,6458.86
Sep-22,1212.00,6306.97
Aug-22,1212.00,6298.91
Jul-22,1212.00,6388.55
Jun-22,1212.00,6527.67
May-22,1212.00,6535.40
Apr-22,1212.00,6754.33
Mar-22,1212.00,6394.76
Feb-22,1212.00,6012.18
Jan-22,1212.00,5997.14
Dec-21,1100.00,5800.98
Nov-21,1100.00,5969.17
Oct-21,1100.00,5886.50
Sep-21,1100.00,5657.66
Aug-21,1100.00,5583.90
Jul-21,1100.00,5518.79
Jun-21,1100.00,5421.84
May-21,1100.00,5351.11
Apr-21,1100.00,5330.69
Mar-21,1100.00,5315.74
Feb-21,1100.00,5375.05
Jan-21,1100.00,5495.52
Dec-20,1045.00,5304.90
Nov-20,1045.00,5289.53
Oct-20,1045.00,5005.91
Sep-20,1045.00,4892.75
Aug-20,1045.00,4536.12
Jul-20,1045.00,4420.11
Jun-20,1045.00,4595.60
May-20,1045.00,4694.57
Apr-20,1045.00,4673.06
Mar-20,1045.00,4483.20
Feb-20,1045.00,4366.51
Jan-20,1039.00,4347.61
Dec-19,998.00,4342.57
Nov-19,998.00,4021.39
Oct-19,998.00,3978.63
Sep-19,998.00,3980.82
Aug-19,998.00,4044.58
Jul-19,998.00,4143.55
Jun-19,998.00,4214.62
May-19,998.00,4259.90
Apr-19,998.00,4385.75
Mar-19,998.00,4277.04
Feb-19,998.00,4052.65
Jan-19,998.00,3928.73
Dec-18,954.00,3960.57
Nov-18,954.00,3959.98
Oct-18,954.00,3783.39
Sep-18,954.00,3658.39
Aug-18,954.00,3636.04
Jul-18,954.00,3674.77
Jun-18,954.00,3804.06
May-18,954.00,3747.10
Apr-18,954.00,3696.95
Mar-18,954.00,3706.44
Feb-18,954.00,3682.67
Jan-18,954.00,3752.65
Dec-17,937.00,3585.05
Nov-17,937.00,3731.39
Oct-17,937.00,3754.16
Sep-17,937.00,3668.55
Aug-17,937.00,3744.83
Jul-17,937.00,3810.36
Jun-17,937.00,3727.19
May-17,937.00,3869.92
Apr-17,937.00,3899.66
Mar-17,937.00,3673.09
Feb-17,937.00,3658.72
Jan-17,937.00,3811.29
Dec-16,880.00,3856.23
Nov-16,880.00,3940.41
Oct-16,880.00,4016.27
Sep-16,880.00,4013.08
Aug-16,880.00,3991.40
Jul-16,880.00,3992.75
Jun-16,880.00,3940.24
May-16,880.00,3777.93
Apr-16,880.00,3716.77
Mar-16,880.00,3736.26
Feb-16,880.00,3725.01
Jan-16,880.00,3795.24
Dec-15,788.00,3518.51
Nov-15,788.00,3399.22
Oct-15,788.00,3210.28
Sep-15,788.00,3240.27
Aug-15,788.00,3258.16
Jul-15,788.00,3325.37
Jun-15,788.00,3299.66
May-15,788.00,3377.62
Apr-15,788.00,3251.61
Mar-15,788.00,3186.92
Feb-15,788.00,3182.81
Jan-15,788.00,3118.62
Dec-14,724.00,2975.55
Nov-14,724.00,2923.22
Oct-14,724.00,2967.07
Sep-14,724.00,2862.73
Aug-14,724.00,2861.55
Jul-14,724.00,2915.07
Jun-14,724.00,2979.25
May-14,724.00,3079.31
Apr-14,724.00,3019.07
Mar-14,724.00,2992.19
Feb-14,724.00,2778.63
Jan-14,724.00,2748.22
Dec-13,678.00,2765.44
Nov-13,678.00,2761.58
Oct-13,678.00,2729.24
Sep-13,678.00,2621.70
Aug-13,678.00,2685.47
Jul-13,678.00,2750.83
Jun-13,678.00,2860.21
May-13,678.00,2873.56
Apr-13,678.00,2892.47
Mar-13,678.00,2824.92
Feb-13,678.00,2743.69
Jan-13,678.00,2674.88
Dec-12,622.00,2561.47
Nov-12,622.00,2514.09
Oct-12,622.00,2617.33
Sep-12,622.00,2616.41
Aug-12,622.00,2589.78
Jul-12,622.00,2519.97
Jun-12,622.00,2416.38
May-12,622.00,2383.28
Apr-12,622.00,2329.35
Mar-12,622.00,2295.58
Feb-12,622.00,2323.21
Jan-12,622.00,2398.82
Dec-11,545.00,2329.35
Nov-11,545.00,2349.26
Oct-11,545.00,2329.94
Sep-11,545.00,2285.83
